"GEO.id2","mris_est","ris_moe","med_hh_income_est","med_hh_income_moe","med_rent_est","med_rent_moe","Geography","total_workers_2010","total_workers_moe_2010","mean_travel_time_2010","commute_under10_2010","commute_10to14_2010","commute_15to19_2010","commute_20to24_2010","commute_25to29_2010","commute_30to34_2010","commute_35to44_2010","commute_45to59_2010","commute_60plus_2010","commute_10to14_moe_2010","commute_15to19_moe_2010","commute_20to24_moe_2010","commute_25to29_moe_2010","commute_30to34_moe_2010","commute_35to44_moe_2010","commute_45to59_moe_2010","commute_60plus_moe_2010","commute_30plus_2010","total_workers_2011","total_workers_moe_2011","mean_travel_time_2011","commute_under10_2011","commute_10to14_2011","commute_15to19_2011","commute_20to24_2011","commute_25to29_2011","commute_30to34_2011","commute_35to44_2011","commute_45to59_2011","commute_60plus_2011","commute_10to14_moe_2011","commute_15to19_moe_2011","commute_20to24_moe_2011","commute_25to29_moe_2011","commute_30to34_moe_2011","commute_35to44_moe_2011","commute_45to59_moe_2011","commute_60plus_moe_2011","commute_30plus_2011","total_workers_2012","total_workers_moe_2012","mean_travel_time_2012","commute_under10_2012","commute_10to14_2012","commute_15to19_2012","commute_20to24_2012","commute_25to29_2012","commute_30to34_2012","commute_35to44_2012","commute_45to59_2012","commute_60plus_2012","commute_10to14_moe_2012","commute_15to19_moe_2012","commute_20to24_moe_2012","commute_25to29_moe_2012","commute_30to34_moe_2012","commute_35to44_moe_2012","commute_45to59_moe_2012","commute_60plus_moe_2012","commute_30plus_2012","total_workers_2013","total_workers_moe_2013","mean_travel_time_2013","commute_under10_2013","commute_10to14_2013","commute_15to19_2013","commute_20to24_2013","commute_25to29_2013","commute_30to34_2013","commute_35to44_2013","commute_45to59_2013","commute_60plus_2013","commute_10to14_moe_2013","commute_15to19_moe_2013","commute_20to24_moe_2013","commute_25to29_moe_2013","commute_30to34_moe_2013","commute_35to44_moe_2013","commute_45to59_moe_2013","commute_60plus_moe_2013","commute_30plus_2013","total_workers_2014","total_workers_moe_2014","mean_travel_time_2014","commute_under10_2014","commute_10to14_2014","commute_15to19_2014","commute_20to24_2014","commute_25to29_2014","commute_30to34_2014","commute_35to44_2014","commute_45to59_2014","commute_60plus_2014","commute_10to14_moe_2014","commute_15to19_moe_2014","commute_20to24_moe_2014","commute_25to29_moe_2014","commute_30to34_moe_2014","commute_35to44_moe_2014","commute_45to59_moe_2014","commute_60plus_moe_2014","commute_30plus_2014","housing_units_est_2010","housing_units_moe_2010","housing_units_est_2011","housing_units_moe_2011","housing_units_est_2012","housing_units_moe_2012","housing_units_est_2013","housing_units_moe_2013","housing_units_est_2014","housing_units_moe_2014","GEO.display.label","pop_2010","pop_2011","pop_2012","pop_2013","pop_2014","pop_change_p","pop_change_n","zillow_2010_11","zillow_2010_12","zillow_2011_01","zillow_2011_02","zillow_2011_03","zillow_2011_04","zillow_2011_05","zillow_2011_06","zillow_2011_07","zillow_2011_08","zillow_2011_09","zillow_2011_10","zillow_2011_11","zillow_2011_12","zillow_2012_01","zillow_2012_02","zillow_2012_03","zillow_2012_04","zillow_2012_05","zillow_2012_06","zillow_2012_07","zillow_2012_08","zillow_2012_09","zillow_2012_10","zillow_2012_11","zillow_2012_12","zillow_2013_01","zillow_2013_02","zillow_2013_03","zillow_2013_04","zillow_2013_05","zillow_2013_06","zillow_2013_07","zillow_2013_08","zillow_2013_09","zillow_2013_10","zillow_2013_11","zillow_2013_12","zillow_2014_01","zillow_2014_02","zillow_2014_03","zillow_2014_04","zillow_2014_05","zillow_2014_06","zillow_2014_07","zillow_2014_08","zillow_2014_09","zillow_2014_10","zillow_2014_11","zillow_2014_12","zillow_2015_01","clean_name","workers_housing_ratio_2014","workers_housing_ratio_2013","workers_housing_ratio_2012","workers_housing_ratio_2011","workers_housing_ratio_2010"
647766,29,1.1,99072,3723,1803,60,"Milpitas city, California",39791,1405,27.8,0.9,11.7,17,18.3,7.3,16.6,6.9,6.4,9.8,1.3,1.5,1.4,1,1.2,1.1,0.9,1.1,39.7,40307,1627,27.8,0.8,11.8,16.7,17.5,7.4,17.1,6.9,7.4,9.1,1.1,1.3,1.5,1.1,1.2,0.9,1,1.1,40.5,41669,1411,28.3,0.8,11.5,16.3,17.5,7.8,16.9,6.9,7.3,10,1.2,1.2,1.4,0.9,1.2,1.1,1,1,41.1,42996,1354,29,0.7,10.6,15.5,18.5,7.4,17.4,6.9,7.4,10.7,1.1,1.2,1.3,1,1.5,0.9,0.8,1,42.4,44165,1505,29.7,0.7,10,15.6,16.8,7.8,16.7,7.5,8.1,11.1,0.9,1.2,1.1,0.9,1.2,0.8,1,1,43.4,19832,549,19933,390,20118,467,20744,401,20624,424,"Milpitas city, California",29153,28221,28526,28721,30138,0.0337872603162625,985,1998,1996,1986,1977,1980,1982,1990,2011,2036,2074,2102,2119,2121,2129,2143,2155,2160,2178,2196,2215,2224,2233,2248,2274,2288,2301,2297,2297,2295,2298,2302,2303,2301,2300,2303,2315,2325,2347,2371,2401,2434,2470,2503,2523,2545,2554,2572,2587,2616,2655,2711,"Milpitas",2.1414371605896,2.07269571924412,2.07122974450741,2.02212411578789,2.00640379185155
649670,25.4,1,100028,4474,1688,30,"Mountain View city, California",62133,1609,29.1,0.8,12.3,15.7,14.4,5.7,14.9,8.3,9.5,11.2,1.1,1.1,1.1,0.6,1.1,0.7,0.8,1.2,43.9,65264,1500,29.3,0.7,11.8,15.8,13.9,5.4,15.1,8.6,9.6,11.7,0.9,1.2,1.1,0.6,1.1,0.8,0.9,1,45,66388,1865,30.2,0.8,11.6,14.6,13.9,5.5,14.8,8.5,10.4,12.9,1,1,0.9,0.7,1.1,0.8,0.9,1.1,46.6,69097,1569,31.5,0.7,9.9,14.5,15,5.5,14.7,8.4,10.5,14.6,0.9,1.1,1,0.7,1.1,0.9,0.8,1.1,48.2,72339,2005,32.3,0.6,9.4,12.9,14.9,5.6,15.1,8.7,10.8,15.7,0.8,1,1,0.5,1,0.8,0.9,1,50.3,32646,679,33039,682,32955,704,33468,576,34070,585,"Mountain View city, California",37706,38229,39003,39666,40464,0.0731448575823476,2758,2232,2261,2279,2291,2299,2304,2312,2335,2357,2382,2400,2421,2448,2452,2455,2474,2500,2520,2520,2521,2524,2526,2517,2499,2489,2480,2505,2546,2594,2630,2654,2642,2619,2592,2589,2624,2693,2770,2829,2878,2907,2938,2976,3017,3081,3155,3242,3295,3337,3350,3357,"Mountain View",2.12324625770473,2.06456914067169,2.01450462752238,1.97536245043736,1.90323469950377
654806,28.3,1.8,96875,4897,1806,74,"Pacifica city, California",6434,549,NA,3.9,17.9,15.6,13,3.2,10.5,2.9,7.3,9.9,4,3.6,3.5,1.6,3.7,1.6,2.8,3,30.6,6434,503,NA,3.6,18.1,13.9,11.3,5,10.7,2.5,7.8,9.7,3.6,3.5,3.1,2.1,3,1.4,2.4,2.8,30.7,6779,617,NA,3.2,17.1,15.1,15.1,3.9,11.8,2.3,7,10.6,3.8,3.6,3.5,2.1,3.7,1.3,2.5,3.2,31.7,6478,542,NA,3.4,18.6,15.9,14.3,4.7,9.3,2.4,7.7,9.3,3.9,3.2,3.6,2,2.9,1.4,2.6,3.2,28.7,6675,528,23.1,3.3,16.8,13.2,14.5,6.4,12.4,3.3,6.8,7.7,3.7,3.2,3.4,2.7,3.6,1.6,2.4,2.6,30.2,14506,288,14710,335,14456,342,14505,439,14747,405,"Pacifica city, California",18902,18623,18104,18569,18887,-0.000793566818326103,-15,2321,2387,2440,2443,2356,2248,2154,2101,2086,2109,2159,2208,2258,2263,2278,2304,2349,2382,2407,2411,2399,2361,2329,2291,2299,2302,2337,2373,2401,2407,2429,2469,2502,2511,2508,2508,2489,2441,2367,2351,2377,2455,2514,2559,2606,2674,2743,2803,2854,2892,2928,"Pacifica",0.452634434122194,0.446604619096863,0.468940232429441,0.437389530931339,0.443540603888046
655282,26.5,1.4,126771,7054,NA,NA,"Palo Alto city, California",80715,2147,31.7,0.6,9.5,14.6,14.3,7.1,16.8,9.1,11.9,11.7,0.7,0.8,1,0.7,0.9,0.6,0.8,0.8,49.5,84001,2248,31.8,0.6,9.5,13.6,14.3,7.4,17,9,12.2,11.8,0.8,0.9,0.9,0.7,0.9,0.7,0.9,0.8,50,86267,2167,32.3,0.7,9.5,12.9,13.8,7.4,17,9.3,12.2,12.7,0.7,0.9,0.9,0.6,0.9,0.7,0.8,0.9,51.2,87230,1964,32.8,0.6,8.8,12.1,14.2,7.4,16.7,9.3,13,13.2,0.7,0.8,0.9,0.6,0.9,0.7,0.9,0.8,52.2,88541,1952,33.5,0.7,8.4,11.5,13.6,7.2,16.3,9.3,13.4,14.6,0.6,0.8,0.8,0.6,0.9,0.7,0.8,0.8,53.6,26990,459,27268,513,27774,478,27789,497,27983,548,"Palo Alto city, California",26682,27168,27687,27593,28705,0.0758189041301252,2023,2575,2573,2589,2621,2632,2615,2594,2599,2623,2684,2748,2838,2903,2960,2947,2877,2823,2865,2970,3086,3139,3155,3121,3086,3051,3020,2978,2956,2996,3038,3049,2995,2944,2893,2876,2874,2916,3014,3171,3330,3441,3494,3530,3577,3663,3755,3853,3914,3964,4005,4057,"Palo Alto",3.16409963191938,3.13901183921696,3.10603442068121,3.08057063224292,2.99055205631715
660102,32.1,1.7,81955,3540,1588,50,"Redwood City city, California",53515,1485,29.8,1,12.6,13.1,13.6,6.5,14.4,9.8,12.8,9.6,1,1.1,1.1,0.7,1.2,1.1,1.1,0.9,46.6,53391,1585,29.7,0.9,12.1,14.1,12.6,6.4,15.1,9.6,12.1,10,1,1,1,0.8,1.2,1,1,0.9,46.8,53807,1664,30.3,0.8,11.2,14.3,12.7,6.5,15.9,9.4,11.3,11.2,1,1.3,1,0.8,1.3,0.8,0.9,1,47.8,54555,1791,31.3,1,10.8,13.2,12.6,6.2,14.8,10.1,12.4,12.2,1,1.3,1,0.8,1.2,1.2,1.2,1.1,49.5,55603,1633,31.8,0.9,10.7,12.9,13,6,14.6,9.1,12,13.6,0.9,1.1,1,0.9,1,0.8,1.1,1,49.3,29247,698,29270,599,29293,831,29005,710,29360,662,"Redwood City city, California",35150,35290,36282,37016,38128,0.0847226173541963,2978,2365,2420,2412,2398,2330,2232,2147,2114,2130,2157,2193,2239,2307,2369,2424,2472,2489,2516,2527,2527,2469,2410,2359,2340,2320,2294,2296,2317,2350,2389,2433,2487,2543,2592,2612,2616,2609,2596,2609,2647,2698,2744,2778,2807,2861,2927,2996,3035,3050,3046,3044,"Redwood City",1.89383514986376,1.88088260644716,1.83685522138395,1.82408609497779,1.8297603172975
665028,29.4,1.9,81420,3511,1685,61,"San Bruno city, California",11407,730,28.3,2.1,14.6,14.5,12.5,5.2,11.5,6.6,11.1,11.5,2.3,2.2,2.4,1.7,2.4,1.9,2.7,2.1,40.7,11934,839,29.2,1.9,13.1,16.3,12.4,5.6,11.2,6.7,11.3,12.5,2.3,2.5,2.3,1.6,2.4,1.9,2.6,2.7,41.7,12313,748,28.5,2.2,13.9,15.4,12.7,6.7,12.5,6.2,9.9,11.5,1.9,2.1,2.6,1.7,2.3,1.8,2.1,1.8,40.1,13515,871,28.4,2.2,14.4,14.3,13.5,6.2,13.1,5.3,10.6,11.3,2.6,2.2,2.3,1.5,2.2,1.2,2.2,2.1,40.3,15088,984,29.7,1.8,12.7,14.2,14.6,6.5,12.7,5.4,9.8,13.8,1.9,2.3,2.3,1.5,2.1,1.3,1.9,1.9,41.7,15655,414,15493,549,15472,430,15550,477,15261,388,"San Bruno city, California",20237,20655,21589,21270,21778,0.0761476503434304,1541,1697,1702,1696,1693,1690,1691,1687,1665,1630,1683,1741,1819,1820,1849,1865,1850,1802,1746,1706,1705,1722,1747,1771,1782,1773,1743,1746,1784,1832,1866,1884,1894,1913,1902,1889,1843,1800,1765,1754,1779,1826,1887,1950,1979,2023,2046,2089,2135,2201,2285,2330,"San Bruno",0.988663914553437,0.869131832797428,0.795824715615305,0.770283353772672,0.728648993931651
665070,28.1,2.2,125747,7815,1668,81,"San Carlos city, California",14964,842,26.9,2.2,17.9,14.7,12.5,4.7,14.5,5.5,8.9,9.7,2.3,2,2.1,1.2,1.8,1.1,1.7,1.5,38.6,14040,856,26.5,1.8,18,14.6,12.8,5.3,15.3,5.2,7.9,9.6,2.6,2.2,2.3,1.1,2.4,1.2,1.7,2,38,13810,764,NA,1.8,16.4,14.8,13.6,6.2,16,5.4,7.6,9,2.1,2.1,2.4,1.2,2.2,1.4,1.6,1.8,38,14445,842,26.5,2,17.3,14.3,14.2,6,14,6.5,6.7,9.6,2.3,2.1,2.3,1.4,2.2,1.4,1.5,1.7,36.8,15397,929,28.6,1.6,17,12.6,14.5,6.3,13,8,6.9,11.7,2.3,2,2.6,1.4,2.3,1.8,1.6,2,39.6,11657,295,11602,244,11600,286,11745,343,11985,266,"San Carlos city, California",13027,13071,13519,13191,13722,0.0533507330928072,695,2172,2196,2232,2270,2290,2273,2255,2262,2287,2288,2266,2263,2312,2358,2396,2423,2427,2438,2442,2447,2437,2425,2417,2410,2426,2419,2409,2395,2387,2399,2428,2466,2500,2536,2566,2590,2598,2607,2630,2678,2723,2767,2808,2834,2874,2926,2981,3012,3047,3069,3095,"San Carlos",1.28468919482687,1.22988505747126,1.19051724137931,1.21013618341665,1.28369220211032
668000,31.8,0.5,83787,816,1528,18,"San Jose city, California",383957,4328,26.6,0.3,13.1,18.2,18.9,6.2,14.5,5.7,6.2,9,0.4,0.5,0.5,0.2,0.4,0.3,0.3,0.4,35.4,382897,4531,26.5,0.3,12.9,18.4,18.6,6.3,14.5,5.5,6.5,9,0.4,0.5,0.4,0.3,0.5,0.3,0.3,0.4,35.5,385880,4526,26.5,0.4,12.9,18.4,18.4,6.6,14.4,5.5,6.7,8.9,0.4,0.5,0.5,0.3,0.5,0.3,0.3,0.4,35.5,387794,4198,27,0.3,12.6,18.1,18.6,6.7,14.6,5.6,6.9,9.2,0.5,0.5,0.5,0.3,0.4,0.3,0.3,0.4,36.3,396510,4049,27.6,0.3,12,17.7,18.4,6.8,14.8,5.8,7.2,9.8,0.4,0.5,0.4,0.2,0.4,0.3,0.3,0.4,37.6,313944,1625,315255,1352,317592,1418,319700,1494,322187,1371,"San Jose city, California",418050,421762,425224,430144,444494,0.063255591436431,26444,1821,1824,1831,1835,1833,1836,1842,1849,1860,1878,1898,1914,1926,1935,1948,1970,1991,2016,2045,2077,2097,2113,2124,2142,2161,2183,2193,2207,2213,2217,2217,2214,2207,2199,2196,2199,2206,2214,2230,2258,2285,2306,2324,2336,2361,2391,2433,2467,2503,2536,2563,"San Jose",1.23068280222355,1.21299343134188,1.21501801052923,1.21456281422975,1.2230111102617
668252,29.3,0.8,90087,2936,1710,36,"San Mateo city, California",47764,1553,26.9,1.3,14.9,13.5,13.3,5.9,14.7,7,8.9,9.1,1.1,1.8,1.3,0.7,1.3,0.7,0.8,1.3,39.7,49739,1688,27.4,1.2,14.7,13.5,13.8,5.7,14.4,7.3,8.9,9.8,1.3,1.8,1.2,0.7,1.4,0.8,0.9,1.1,40.4,51496,1663,27.7,1,14.8,13.1,14.4,5.7,15,7.9,9.1,9.1,1.3,1.7,1.2,0.7,1.4,0.9,0.9,0.9,41.1,51834,1483,28.5,1,14.8,12.1,14.5,5.7,15,7.6,10.5,9.5,1,1.1,1.1,0.8,1.3,0.8,1.1,0.8,42.6,53841,1477,29.1,1,15,11.6,15,5.6,14.8,7.7,10.4,10.5,1.2,1.1,1.3,0.8,1.3,0.9,0.8,1.1,43.4,39975,746,39675,744,39203,668,40137,680,40043,665,"San Mateo city, California",47731,47965,48828,48969,50122,0.0500932308143555,2391,1926,1944,1988,2050,2096,2090,2057,2031,2033,2050,2068,2084,2131,2168,2196,2218,2221,2236,2255,2271,2260,2229,2208,2206,2231,2240,2254,2276,2294,2311,2344,2387,2434,2483,2528,2559,2569,2558,2542,2549,2555,2589,2633,2674,2711,2752,2786,2812,2839,2865,2891,"San Mateo",1.34457957695477,1.29142686299424,1.31357294084636,1.25366099558916,1.19484677923702
669084,27.4,1.1,93840,3578,1686,31,"Santa Clara city, California",99946,2224,28.4,0.7,10.9,16.5,17.9,6.9,15.9,7,8.3,9.8,0.8,0.9,0.7,0.6,0.9,0.5,0.6,0.8,41,100527,2541,28.3,0.7,11.1,16.6,17.9,6.8,16.3,6.9,8,9.8,0.8,1,1,0.5,0.9,0.5,0.5,0.8,41,100610,2645,28.6,0.6,10.8,15.9,17.9,6.9,16.8,7.1,8.2,10,0.8,0.8,1.1,0.6,1,0.6,0.7,0.7,42.1,101069,2261,29.3,0.7,10.6,14.9,17.9,6.8,17.1,7.5,8.5,10.4,0.7,0.7,0.9,0.6,0.9,0.6,0.6,0.6,43.5,104912,2227,29.9,0.5,9.8,14.9,18.1,6.9,17,7.7,8.7,11.2,0.8,0.9,0.9,0.6,0.7,0.5,0.5,0.7,44.6,44598,968,44706,790,44296,978,44632,887,44996,912,"Santa Clara city, California",53262,53359,53688,53787,55180,0.0360106642634524,1918,2061,2064,2059,2042,2032,2027,2022,2039,2067,2108,2141,2168,2181,2196,2214,2238,2251,2258,2273,2293,2313,2321,2326,2332,2339,2355,2365,2385,2396,2405,2414,2413,2411,2401,2400,2409,2423,2447,2480,2522,2558,2598,2634,2658,2677,2706,2753,2791,2820,2843,2867,"Santa Clara",2.33158502978042,2.26449632550636,2.27131117933899,2.24862434572541,2.24104219920176
673262,31.6,1.8,78101,3294,1521,70,"South San Francisco city, California",43907,1624,29.6,0.9,13.4,18.2,14.6,4.8,14.1,5.8,8.5,13.2,1.3,1.6,1.2,0.7,1.2,0.7,1,1.3,41.6,43411,1751,30,1.1,13.6,18.1,13.4,5,13.9,6,9.2,13.6,1.2,1.5,1,0.8,1.3,0.9,1.1,1.3,42.7,44728,1395,29.8,1.1,12.8,19.5,12.8,5.6,13.4,6.2,8.3,14.1,1.3,1.6,1.2,0.7,1.2,1,0.9,1.2,42,45759,1679,30,0.9,13,18.1,13.8,5.6,13.7,6.5,8.6,13.6,1.2,1.6,1.1,0.7,1.4,0.9,1,1.1,42.4,47359,1604,30.8,1.2,11.7,16.8,14.2,6.3,13.8,7.1,8.7,14.5,1.3,1.5,1.2,0.9,1.2,1,0.9,1,44.1,21576,481,21923,495,22326,518,21787,528,22517,619,"South San Francisco city, California",29905,30207,30311,30920,31761,0.0620632001337569,1856,1910,1929,1934,1958,1976,1985,1976,1965,1975,1996,2020,2027,2044,2049,2068,2094,2104,2109,2120,2139,2147,2146,2148,2165,2202,2232,2268,2291,2305,2308,2326,2344,2352,2354,2351,2364,2362,2353,2349,2396,2420,2456,2484,2524,2561,2600,2643,2681,2719,2746,2764,"South San Francisco",2.10325531820402,2.1002891632625,2.00340410283974,1.98015782511518,2.03499258435298
677000,23.2,0.7,103257,2027,1692,24,"Sunnyvale city, California",84454,2033,29.3,0.7,11.9,14.7,15.8,7.4,15.3,8.8,10.1,9.9,0.8,0.8,0.8,0.7,0.9,0.7,0.8,0.7,44.1,85076,2343,29.4,0.6,11.6,14.2,16,7.5,16.2,8.7,9.8,10,1,0.9,0.9,0.6,0.8,0.7,0.6,0.7,44.7,86502,2204,29.7,0.6,11,14.9,16.2,6.9,16.1,8.6,9.7,10.7,0.7,0.9,1,0.6,0.9,0.7,0.7,0.7,45.1,86804,2055,30.3,0.6,10.1,14,16.5,7.1,16.9,8,10.1,11.6,0.8,0.9,0.9,0.5,1,0.6,0.8,0.8,46.6,89296,1977,31,0.5,9.4,13.4,17.1,7.4,16.7,7.4,10.8,12.6,0.7,0.9,1.1,0.6,0.9,0.5,0.6,0.8,47.5,55838,689,55542,749,56134,886,56168,882,56620,852,"Sunnyvale city, California",66382,67265,68470,67955,69494,0.046880178361604,3112,2219,2255,2268,2268,2261,2262,2268,2283,2304,2334,2362,2386,2404,2405,2410,2416,2416,2414,2420,2434,2446,2450,2457,2469,2483,2485,2486,2499,2512,2527,2535,2535,2530,2526,2535,2549,2575,2593,2638,2695,2763,2818,2859,2881,2904,2937,2978,3018,3064,3107,3142,"Sunnyvale",1.577110561639,1.54543512320182,1.54099119962946,1.53174174498578,1.51248253877288
